sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
1501669,Sn,788,['ClC(Cl)Cl'],4,2.0968764841610534,,,3.85,0.027633031914494753,0.030009598394687524,0.1850414016973162,0.8694706984672381
7240786,Sn,512,[],4,2.0886937050570875,,,3.85,2.767574026746297e-16,2.0484162712321983e-32,0.05591218008782241,0.1347987257964936
7037223,Ir,494,[],5,2.0213626090307315,2.0665653635955965,3.7,3.6,0.08295388746324045,0.013772979174805878,0.06866318760014921,0.5089715587024233
7003904,Zn,608,['ClCCl'],4,2.02958032288374,,,3.7,0.026981547830177626,0.03870693122863151,0.23072006698366426,0.22359439232386685
4317157,Fe,462,['c1cccc(c1)C'],5,2.0683123871399567,2.141279701267912,3.65,3.65,0.00640758390083639,0.31212265669136735,0.05986446204596753,0.11942572498133182
4322648,Zn,398,"['ClC(Cl)Cl', 'c1ccccc1']",4,2.0233344187097835,,,3.7,0.08081632647434782,0.026953433480218975,0.04643518202854058,0.45552931106543715
2019734,Pd,370,[],4,2.0086697877172255,,,3.65,0.029671232024928978,0.0008998275418103853,0.25355599519311983,0.0917338696841761
7050226,Mn,452,"['O=S(C)C', 'N(=O)(=O)c1ccccc1']",4,2.01458249154741,,,3.65,0.008588119343548507,0.014460480668990059,0.08799122936682811,0.07148796489704179
1552365,Pd,486,[],4,2.0272955845082627,,,3.65,2.240018957165229e-16,5.563346250545128e-17,0.06271323756071254,0.13359324599036027
7126172,Ru,596,[],6,2.035849175974879,2.1579067176998175,3.65,3.65,2.0220017975810914e-16,8.112042098216279e-17,0.07782468143960929,0.06698322653894534
7050351,Zn,590,[],4,2.065806932022771,,,3.7,1.9096782939126264e-16,1.1446445244832175e-18,0.1436643109643772,0.24665475012983185
7032602,Ni,324,[],4,1.9395513894055774,,,3.6,0.011880730267170394,0.007358732588552054,0.3993254008711981,0.16975836176497355
2013228,Ru,554,['c1ccncc1'],6,2.0437713382588125,2.1029065,3.7,3.65,1.3603868051977892,1.0712851593677656e-15,2.1972815388510996,2.8255722971088852
